text,pollution,date
"BETR831, ,in ,Antwerpen,, ,Belgium",42.5,2020/04/24 01:00
"BETR815, ,in ,Antwerpen,, ,Belgium",19,2018/01/04 03:00
"BETR803, ,in ,Antwerpen,, ,Belgium",45.5,2020/04/24 01:00
"BETR811, ,in ,Antwerpen,, ,Belgium",48,2020/04/24 01:00
"BETR805, ,in ,Antwerpen,, ,Belgium",44,2020/04/24 01:00
"BETR817, ,in ,Antwerpen,, ,Belgium",39.5,2020/04/24 01:00
"BETR802, ,in ,Antwerpen,, ,Belgium",44.5,2020/04/24 01:00
"BETR834, ,in ,Antwerpen,, ,Belgium",41,2020/04/24 01:00
"BETR801, ,in ,Antwerpen,, ,Belgium",48,2020/04/24 01:00
"BETM802, ,in ,Antwerpen,, ,Belgium",42.5,2020/04/24 01:00
"BELSA04, ,in ,Antwerpen,, ,Belgium",46,2020/04/24 01:00
"US Diplomatic Post: Manama, ,in ,Manama,, ,Bahrain",47,2020/04/24 09:00
"BELAL01, ,in ,Antwerpen,, ,Belgium",49.5,2020/04/24 01:00
"BETN016, ,in ,Antwerpen,, ,Belgium",27,2020/04/24 01:00
"BETN063, ,in ,Brabant wallon,, ,Belgium",21.026,2020/04/24 01:00
"BELHB23, ,in ,Antwerpen,, ,Belgium",46,2020/04/24 01:00
"SPARTAN - Dhaka University, ,in ,Dhaka,, ,Bangladesh",6.4,2015/09/20 23:00
"BG0045A, ,in ,Русе,, ,Bulgaria",11.97,2020/04/24 07:00
"Athabasca Valley, ,in ,ALBERTA,, ,Canada",7.7,2020/04/24 10:00
"Lukavac, ,in ,Lukavac,, ,Bosnia and Herzegovina",7.4,2020/04/24 11:00
"BG0075A, ,in ,Варна,, ,Bulgaria",23.59,2020/04/24 07:00
"Rangoon, ,in ,N/A,, ,Bermuda",40,2020/04/24 09:30
"Manama, ,in ,N/A,, ,Bosnia and Herzegovina",62,2020/04/24 10:00
"US Diplomatic Post: Sarajevo, ,in ,Sarajevo,, ,Bosnia and Herzegovina",20,2020/04/24 07:00
"Guarulhos-Paço Municipal, ,in ,Guarulhos,, ,Brazil",37,2017/10/27 18:00
"Beaverlodge, ,in ,ALBERTA,, ,Canada",0.9,2020/04/24 10:00
"Campinas-V.União, ,in ,Campinas,, ,Brazil",30,2017/10/27 18:00
"Bruderheim, ,in ,ALBERTA,, ,Canada",4.9,2020/04/24 06:00
"Calgary Northwest, ,in ,ALBERTA,, ,Canada",1.4,2020/04/24 10:00
"Calgary Central2, ,in ,ALBERTA,, ,Canada",1.9,2020/04/24 10:00
"Caroline, ,in ,ALBERTA,, ,Canada",-0.1,2020/04/24 01:00
"Cold Lake South, ,in ,ALBERTA,, ,Canada",7.7,2018/10/29 15:00
"Edmonton East, ,in ,ALBERTA,, ,Canada",2.4,2020/04/24 10:00
"Bukinje, ,in ,Tuzla,, ,Bosnia and Herzegovina",5.8,2020/04/24 11:00
"Edmonton Woodcroft, ,in ,ALBERTA,, ,Canada",3.7,2020/04/24 10:00
"BKC, ,in ,Tuzla,, ,Bosnia and Herzegovina",10.6,2020/04/24 11:00
"Edmonton Central, ,in ,ALBERTA,, ,Canada",3,2020/04/24 10:00
"Edmonton South, ,in ,ALBERTA,, ,Canada",3.8,2020/04/24 10:00
"Skver, ,in ,Tuzla,, ,Bosnia and Herzegovina",5.9,2020/04/24 11:00
"Živinice, ,in ,Živinice,, ,Bosnia and Herzegovina",9.1,2020/04/24 11:00
"Guarulhos-Pimentas, ,in ,Guarulhos,, ,Brazil",43,2017/10/27 18:00
"Piracicaba, ,in ,Piracicaba,, ,Brazil",32,2017/10/27 18:00
"Santos-Ponta da Praia, ,in ,Santos,, ,Brazil",15,2017/10/27 18:00
"S.Bernardo-Centro, ,in ,São Bernardo do Campo,, ,Brazil",38,2017/10/27 18:00
"São José Do Rio Preto, ,in ,São José Do Rio Preto,, ,Brazil",15,2017/10/27 18:00
"Osasco, ,in ,Osasco,, ,Brazil",98,2017/10/18 12:00
"Pico do Jaraguá, ,in ,Sao Paulo,, ,Brazil",59,2017/10/27 18:00
"Grajau-Parelheiros, ,in ,Sao Paulo,, ,Brazil",0,2017/10/26 08:00
"Cid.Universitária-USP-Ipen, ,in ,São Paulo,, ,Brazil",50,2017/10/13 15:00
"S.José dos Campos-Jd.Satélite, ,in ,Sao Paulo,, ,Brazil",21,2017/10/27 18:00
"Ibirapuera, ,in ,São Paulo,, ,Brazil",31,2017/10/27 18:00
"Ribeirão Preto-Centro, ,in ,Sao Paulo,, ,Brazil",28,2017/10/27 18:00
"Elk Island, ,in ,ALBERTA,, ,Canada",2,2020/04/24 06:00
"Congonhas, ,in ,São Paulo,, ,Brazil",39,2017/10/27 18:00
"Fort McKay, ,in ,ALBERTA,, ,Canada",10.4,2020/04/22 14:00
"Fort Chipewyan, ,in ,ALBERTA,, ,Canada",3.3,2020/04/24 10:00
"US Diplomatic Post: Dhaka, ,in ,Dhaka,, ,Bangladesh",28,2020/04/24 10:00
"Fort Saskatchewan, ,in ,ALBERTA,, ,Canada",1.6,2020/04/24 10:00
"Elizabeth, ,in ,Adelaide,, ,Australia",9,2020/01/18 18:30
"Le Fevre 2, ,in ,Adelaide,, ,Australia",13,2020/04/24 09:30
"CBD, ,in ,Adelaide,, ,Australia",10.4,2020/04/24 09:30
"Netley, ,in ,Adelaide,, ,Australia",6,2020/04/24 09:30
"Le Fevre 1, ,in ,Adelaide,, ,Australia",21,2020/04/24 09:30
"SPARTAN - Dhaka University, ,in ,Dhaka,, ,Bangladesh",6.4,2015/09/20 23:00
"Algiers, ,in ,N/A,, ,Antigua and Barbuda",21.1,2020/03/17 17:00
"Civic, ,in ,Canberra,, ,Australia",8.42,2020/04/24 11:00
"Campbellfield, ,in ,Campbellfield,, ,Australia",6.1,2020/04/24 11:00
"Bright, ,in ,Bright,, ,Australia",6.9,2020/02/20 00:00
"Bairnsdale, ,in ,Bairnsdale,, ,Australia",10.3,2020/02/20 00:00
"Monash, ,in ,Canberra,, ,Australia",8.63,2020/04/24 11:00
"Florey, ,in ,Canberra,, ,Australia",8.04,2020/04/24 11:00
"Cann River, ,in ,Cann River,, ,Australia",3.2,2020/02/17 01:00
"Blackwater, ,in ,Central Queensland,, ,Australia",5.6,2020/04/24 10:00
"US Diplomatic Post: Kabul, ,in ,Kabul,, ,Afghanistan",31,2020/04/24 10:30
"US Diplomatic Post: Kabul, ,in ,Kabul,, ,Afghanistan",31,2020/04/24 10:30
"Wyong, ,in ,Central Coast,, ,Australia",19.9,2020/04/24 11:00
"US Diplomatic Post: Algiers, ,in ,Algiers,, ,Algeria",15.8,2020/04/24 07:00
"AT10001, ,in ,Burgenland,, ,Austria",7.63725,2020/04/24 10:00
"SPARTAN - CITEDEF, ,in ,Buenos Aires,, ,Argentina",18.1,2015/04/15 00:00
"AT0ILL1, ,in ,Burgenland,, ,Austria",9.99,2020/04/24 10:00
"AT2KA71, ,in ,Kärnten,, ,Austria",7.335,2020/04/24 10:00
"AT2KA21, ,in ,Kärnten,, ,Austria",11.635,2020/04/24 10:00
"AT30104, ,in ,Niederösterreich,, ,Austria",12.5,2020/04/24 10:00
"AT30407, ,in ,Niederösterreich,, ,Austria",16.5,2020/04/24 10:00
"AT31413, ,in ,Niederösterreich,, ,Austria",17.5,2020/04/24 09:00
"AT31902, ,in ,Niederösterreich,, ,Austria",17.5,2020/04/24 09:00
"AT2WO15, ,in ,Kärnten,, ,Austria",14.645,2020/04/24 10:00
"AT32301, ,in ,Niederösterreich,, ,Austria",10,2020/04/24 10:00
"AT0ENK1, ,in ,Oberösterreich,, ,Austria",15.5,2020/04/18 11:00
"AT32701, ,in ,Niederösterreich,, ,Austria",21.5,2020/04/24 09:00
"AT4S108, ,in ,Oberösterreich,, ,Austria",7.9230003,2020/04/24 10:00
"Antofagasta, ,in ,Antofagasta,, ,Chile",10,2020/04/24 11:00
"AT4S125, ,in ,Oberösterreich,, ,Austria",7.9195,2020/04/24 10:00
"Alto Hospicio, ,in ,Alto Hospicio,, ,Chile",9,2020/04/24 11:00
"AT0ZOE2, ,in ,Oberösterreich,, ,Austria",9.25,2020/04/24 10:00
"Arica, ,in ,Arica,, ,Chile",17.59,2020/04/24 11:00
"Progreso, ,in ,Cabrero,, ,Chile",0,2017/06/28 15:00
"Vialidad, ,in ,Aysén,, ,Chile",35,2020/04/24 10:00
"Estación Centro, ,in ,Calama,, ,Chile",0,2019/02/09 01:00
"Santa Margarita, ,in ,Catemu,, ,Chile",0,2017/06/28 13:00
"Club Deportivo 23 de Marzo, ,in ,Calama,, ,Chile",6.71,2020/04/24 11:00
"Colegio Pedro Vergara Keller, ,in ,Calama,, ,Chile",1.65,2020/04/19 12:00
"Romeral, ,in ,Catemu,, ,Chile",0,2017/06/28 16:00
"Cerrillos, ,in ,Cerrillos,, ,Chile",18,2020/03/19 19:00
"HR0010A, ,in ,Brodsko-posavska,, ,Croatia",14.1,2020/04/24 08:00
"HR0012A, ,in ,Krapinsko-zagorska,, ,Croatia",14,2020/04/24 08:00
"HR0013A, ,in ,Licko-senjska,, ,Croatia",17.1,2020/04/24 08:00
"HR0020A, ,in ,Dubrovacko-neretvanska,, ,Croatia",1,2019/12/31 22:00
"US Diplomatic Post: San Jose, ,in ,San Jose,, ,Costa Rica",8,2020/04/24 07:00
"HR0011A, ,in ,Osjecko-baranjska,, ,Croatia",16.4,2020/04/24 08:00
"US Diplomatic Post: Curacao, ,in ,Curacao,, ,Curaçao",6,2020/04/24 07:00
"HR0015A, ,in ,Istarska,, ,Croatia",14.3,2020/04/24 08:00
"BAR-TORR - Barbosa - Torre Social, ,in ,Barbosa,, ,Colombia",10.3164,2020/04/24 11:00
"CAL-JOAR - Caldas - E U Joaquín Aristizabal, ,in ,Caldas,, ,Colombia",15.5449,2020/04/24 11:00
"ENV-HOSP - Envigado - E.S.E. Santa Gertrudis, ,in ,Envigado,, ,Colombia",9.44948,2020/04/24 11:00
"EST-HOSP - La Estrella - Hospital, ,in ,La Estrella,, ,Colombia",14,2020/04/24 11:00
"US Diplomatic Post: Bogota, ,in ,Bogota,, ,Colombia",13,2020/04/24 07:00
"COP-CVID - Copacabana - Ciudadela Educativa La Vida, ,in ,Copacabana,, ,Colombia",4.63894,2020/04/24 11:00
"BEL-FEVE - Bello - I.E. Fernando Vélez, ,in ,Bello,, ,Colombia",5.84137,2020/04/24 11:00
"ITA-CONC - Itagüí - I.E. Concejo Municipal de Itagüí, ,in ,Itagüí,, ,Colombia",15,2020/04/24 11:00
"GIR-SOSN - Girardota - S.O.S Aburrá Norte, ,in ,Medellin,, ,Colombia",16,2020/04/24 11:00
"MED-ALTA - Medellín, Altavista - I.E. Pedro Octavio Amado, ,in ,Medellin,, ,Colombia",5.93591,2020/04/24 11:00
"ITA-CJUS - Itagüí - Casa de Justicia Itagüí, ,in ,Medellin,, ,Colombia",8,2020/04/24 11:00
"Beijing US Embassy, ,in ,Beijing,, ,China",51,2020/04/24 11:00
"Anqing Lian Fu Hua Yuan, ,in ,Anqing,, ,China",6,2018/08/16 04:00
"CAL-LASA - Caldas - Corporacion Universitaria Lasallista, ,in ,Medellin,, ,Colombia",12,2020/04/24 11:00
"SPARTAN - Tsinghua University, ,in ,Beijing,, ,China",173,2015/10/15 16:00
"CEN-TRAF - Estación Tráfico Centro, ,in ,Medellin,, ,Colombia",12,2020/04/24 11:00
"Guangzhou, ,in ,N/A,, ,Switzerland",23,2020/04/24 11:00
"Shenyang, ,in ,N/A,, ,Switzerland",45,2020/04/24 10:00
"Shanghai, ,in ,N/A,, ,Switzerland",37,2020/04/24 08:00
"新建　, ,in ,七台河市,, ,China",33,2020/01/07 09:00
"Chengdu, ,in ,N/A,, ,Switzerland",27,2020/04/24 11:00
"葫头沟(对照点), ,in ,七台河市,, ,China",9,2020/04/24 10:00
"新建矿广场, ,in ,七台河市,, ,China",18,2020/04/24 10:00
"环保局, ,in ,七台河市,, ,China",N/A,N/A
"三元区政府, ,in ,三明市,, ,China",22,2020/04/24 10:00
"三明二中, ,in ,三明市,, ,China",15,2020/04/24 10:00
"河东子站, ,in ,三亚市,, ,China",6,2020/04/24 10:00
"河西子站, ,in ,三亚市,, ,China",6,2020/04/24 10:00
"CZ0ARIE, ,in ,Hlavní město Praha,, ,Czech Republic",31,2020/04/24 09:00
"CZ0ASMI, ,in ,Hlavní město Praha,, ,Czech Republic",7,2019/04/12 06:00
"CZ0ALIB, ,in ,Hlavní město Praha,, ,Czech Republic",20.5,2020/04/24 09:00
"CZ0ASTO, ,in ,Hlavní město Praha,, ,Czech Republic",14,2020/04/24 09:00
"CZ0BBNI, ,in ,Jihomoravský,, ,Czech Republic",14,2020/04/24 09:00
"CZ0BBDN, ,in ,Jihomoravský,, ,Czech Republic",29,2020/04/24 09:00
"CZ0BBNV, ,in ,Jihomoravský,, ,Czech Republic",17,2020/04/24 08:00
"CZ0CCBD, ,in ,Jihočeský,, ,Czech Republic",21,2020/04/24 09:00
"FI00893, ,in ,Kymenlaakso,, ,Finland",2.9446812,2020/04/24 08:00
"FI00446, ,in ,Northern Ostrobothnia,, ,Finland",-1.5866826,2020/04/24 10:00
"US Diplomatic Post: Abidjan, ,in ,Abidjan,, ,Côte d'Ivoire",32,2020/04/24 11:00
"FI00363, ,in ,Northern Savonia,, ,Finland",6.4,2018/12/09 23:00
"FI00280, ,in ,South Karelia,, ,Finland",4,2020/04/24 10:00
"FI00349, ,in ,Southwest Finland,, ,Finland",2.1996746,2020/04/24 10:00
"FI00838, ,in ,Pirkanmaa,, ,Finland",3.4797184,2020/04/24 10:00
"FI00586, ,in ,Ostrobothnia,, ,Finland",3,2020/04/24 10:00
"FI00606, ,in ,South Karelia,, ,Finland",N/A,N/A
"FI00208, ,in ,Uusimaa,, ,Finland",2.213097,2020/04/24 10:00
"FI00801, ,in ,Pirkanmaa,, ,Finland",0.8608392,2020/04/24 10:00
"FI00564, ,in ,Uusimaa,, ,Finland",6.301361,2020/04/24 10:00
"FI00370, ,in ,Uusimaa,, ,Finland",1.375558,2020/04/24 10:00
"FI00425, ,in ,Uusimaa,, ,Finland",2.191232,2020/04/24 10:00
"FI00761, ,in ,Uusimaa,, ,Finland",3.196193,2020/01/02 05:00
"US Diplomatic Post: Addis Ababa School, ,in ,Addis Ababa,, ,Ethiopia",-999,2020/04/24 07:00
"Addis Ababa Central, ,in ,N/A,, ,Ethiopia",49,2020/04/24 10:00
"EE0018A, ,in ,Harjumaa,, ,Estonia",1.722,2020/04/24 12:00
"EE0019A, ,in ,Ida-Virumaa,, ,Estonia",5.397,2020/04/24 12:00
"EE0011R, ,in ,Saaremaa,, ,Estonia",5.489,2020/04/24 12:00
"FR33305, ,in ,Ain,, ,France",10,2020/04/24 09:00
"EE0021A, ,in ,Tartumaa,, ,Estonia",1.708,2020/04/24 12:00
"Evreux  Boulevard de Normandie, ,in ,AIR NORMAND,, ,France",38.5,2016/12/04 18:00
"EE0009R, ,in ,Lääne-Virumaa,, ,Estonia",8.048,2020/04/24 12:00
"EE0016A, ,in ,Jõgevamaa,, ,Estonia",3.012,2020/04/24 12:00
"Maison Parc Brotonne, ,in ,AIR NORMAND,, ,France",10.58,2017/07/18 20:00
"FR18042, ,in ,Aisne,, ,France",N/A,N/A
"Rouen Le Conquerant, ,in ,AIR NORMAND,, ,France",35.75,2016/12/05 17:00
"FR24039, ,in ,Alpes-de-Haute-Provence,, ,France",10.8,2020/04/24 08:00
"FR18080, ,in ,Aisne,, ,France",40.9,2020/04/24 09:00
"FR24018, ,in ,Alpes-de-Haute-Provence,, ,France",4.5,2020/04/20 20:00
"Valence Trafic, ,in ,AIR RHONE ALPES,, ,France",14.75,2017/04/20 14:00
"FR07022, ,in ,Allier,, ,France",18.3,2020/04/24 09:00
"DEBY001, ,in ,Bayern,, ,Germany",11.15,2020/04/24 01:00
"DEBY002, ,in ,Bayern,, ,Germany",14.89,2020/04/24 01:00
"FR24036, ,in ,Alpes-Maritimes,, ,France",11.6,2020/04/24 09:00
"DEBY004, ,in ,Bayern,, ,Germany",6.68,2020/04/24 01:00
"FR24035, ,in ,Alpes-Maritimes,, ,France",11.5,2020/04/24 06:00
"DEBY005, ,in ,Bayern,, ,Germany",8.39,2020/04/24 01:00
"DEBY007, ,in ,Bayern,, ,Germany",19.6,2020/04/24 01:00
"DEBY009, ,in ,Bayern,, ,Germany",13.04,2020/04/24 01:00
"DEBY028, ,in ,Bayern,, ,Germany",13.58,2020/04/24 01:00
"DEBY014, ,in ,Bayern,, ,Germany",9.95,2020/04/24 01:00
"DEBY031, ,in ,Bayern,, ,Germany",10.77,2020/04/24 01:00
"DEBY012, ,in ,Bayern,, ,Germany",8.02,2020/04/24 01:00
"DEBY013, ,in ,Bayern,, ,Germany",10.65,2020/04/24 01:00
"DEBY021, ,in ,Bayern,, ,Germany",16.17,2020/04/24 01:00
"DEBY035, ,in ,Bayern,, ,Germany",15.24,2020/04/24 01:00
"DEBY037, ,in ,Bayern,, ,Germany",16.94,2020/04/24 01:00
"ADEPA - Asylum Down, ,in ,Accra,, ,Ghana",21.65,2007/04/08 06:54
"DEBY039, ,in ,Bayern,, ,Germany",13.11,2020/04/24 01:00
"ELA - East Legon, ,in ,Accra,, ,Ghana",17.92,2008/08/17 07:20
"ADT - Asylum Down, ,in ,Accra,, ,Ghana",33.07,2007/04/08 06:20
"ADA - Asylum Down, ,in ,Accra,, ,Ghana",28.81,2008/08/17 06:24
"JTA - Jamestown, ,in ,Accra,, ,Ghana",66.64,2008/08/17 07:15
"ELT - East Legon, ,in ,Accra,, ,Ghana",19.4,2007/09/05 06:50
"ELC - East Legon, ,in ,Accra,, ,Ghana",11.41,2007/09/05 08:51
"JTT - Jamestown, ,in ,Accra,, ,Ghana",14.91,2007/07/11 07:25
"JTC - Jamestown, ,in ,Accra,, ,Ghana",51.77,2007/02/09 07:00
"NMT - Nima, ,in ,Accra,, ,Ghana",30.59,2008/08/11 07:03
"Calgary Central2, ,in ,ALBERTA,, ,Canada",1.9,2020/04/24 10:00
"NMA - Nima, ,in ,Accra,, ,Ghana",24.66,2008/08/17 08:08
"Central/Western, ,in ,Central & Western,, ,Hong Kong",21.8,2020/04/24 10:00
"Eastern, ,in ,Eastern,, ,Hong Kong",17.2,2020/04/24 10:00
"Causeway Bay, ,in ,Causeway Bay,, ,Hong Kong",39.3,2020/04/24 10:00
"Kwun Tong, ,in ,Kowloon,, ,Hong Kong",28.3,2020/04/24 10:00
"Sha Tin, ,in ,New Territories,, ,Hong Kong",24.3,2020/04/24 10:00
"Sham Shui Po, ,in ,Kowloon,, ,Hong Kong",19.1,2020/04/24 10:00
"Tsuen Wan, ,in ,New Territories,, ,Hong Kong",25.5,2020/04/24 10:00
"Kwai Chung, ,in ,New Territories,, ,Hong Kong",20.2,2020/04/24 10:00
"Tai Po, ,in ,New Territories,, ,Hong Kong",27.5,2020/04/24 10:00
"Mong Kok, ,in ,Kowloon,, ,Hong Kong",24.6,2020/04/24 10:00
"Tung Chung, ,in ,New Territories,, ,Hong Kong",31.3,2020/04/24 10:00
"Yuen Long, ,in ,New Territories,, ,Hong Kong",23.7,2020/04/24 10:00
"GR0003A, ,in ,ΑΤΤΙΚΗ,, ,Greece",14,2020/04/24 10:00
"GR0030A, ,in ,ΑΤΤΙΚΗ,, ,Greece",7,2020/04/24 10:00
"Tseung Kwan O, ,in ,Sai Kung,, ,Hong Kong",17.4,2020/04/24 10:00
"GR0037A, ,in ,ΑΤΤΙΚΗ,, ,Greece",13,2020/04/24 06:00
"GR0035A, ,in ,ΑΤΤΙΚΗ,, ,Greece",10,2020/04/24 10:00
"Tuen Mun, ,in ,N.T.,, ,Hong Kong",30.3,2020/04/24 10:00
"GR0039A, ,in ,ΑΤΤΙΚΗ,, ,Greece",9,2020/04/24 10:00
"GR0048A, ,in ,ΔΥΤΙΚΗ ΕΛΛΑΔΑ,, ,Greece",10,2020/04/24 10:00
"GR0047A, ,in ,ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,, ,Greece",14,2020/04/24 10:00
"GR0018A, ,in ,ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,, ,Greece",25,2020/04/24 10:00
"US Diplomatic Post: Guatemala City, ,in ,Guatemala City,, ,Guatemala",35,2020/04/24 07:00
"US Diplomatic Post: Guatemala City, ,in ,Guatemala City,, ,Guatemala",35,2020/04/24 07:00
"HU0057A, ,in ,Csongrád,, ,Hungary",30.03247,2020/04/24 11:00
"GR0001A, ,in ,ΘΕΣΣΑΛΙΑ,, ,Greece",16,2020/04/24 10:00
"Grundartangi Gröf, ,in ,Grundartangi,, ,Iceland",1.4772,2020/04/24 11:00
"PCC norður, ,in ,Húsavík,, ,Iceland",0,2020/04/24 09:00
"Grundartangi Kríuvarða, ,in ,Grundartangi,, ,Iceland",7.09666,2020/04/24 10:00
"PCC suður, ,in ,Húsavík,, ,Iceland",0.136719,2020/04/24 09:00
"Hafnarfjörður Hvaleyrarholt, ,in ,Hafnarfjörður,, ,Iceland",2.2786,2020/04/24 11:00
"Reykjavik Husdyragardurinn, ,in ,Reykjavík,, ,Iceland",5.12984,2020/04/24 11:00
"Kópavogur Dalsmári, ,in ,Kópavogur,, ,Iceland",3.31133,2020/04/24 11:00
"Reykjavik Grensas, ,in ,Reykjavík,, ,Iceland",0,2020/04/24 11:00
"Sanjay Palace, Agra - UPPCB, ,in ,Agra,, ,India",72,2020/04/24 10:45
"Maninagar, Ahmedabad - GPCB, ,in ,Ahmedabad,, ,India",33.4,2019/07/11 11:00
"Civil Lines,  Ajmer - RSPCB, ,in ,Ajmer,, ,India",N/A,N/A
"Secretariat, Amaravati - APPCB, ,in ,Amaravati,, ,India",18,2019/07/11 11:15
"Sikulpuikawn, Aizawl - Mizoram PCB, ,in ,Aizawl,, ,India",-1,2020/04/24 11:15
"Moti Doongri, Alwar - RSPCB, ,in , Alwar,, ,India",43.48,2019/07/11 11:00
"Patti Mehar, Ambala - HSPCB, ,in ,Ambala ,, ,India",48.75,2019/07/11 11:00
"Golden Temple, Amritsar - PPCB, ,in ,Amritsar,, ,India",0,2019/07/11 11:00
"More Chowk Waluj, Aurangabad - MPCB, ,in ,Aurangabad,, ,India",17.33,2020/04/24 11:00
"Vidayagiri, Bagalkot - KSPCB, ,in ,Bagalkot,, ,India",19,2020/04/24 08:45
"GIDC, Ankleshwar - GPCB, ,in ,Ankleshwar,, ,India",36.75,2019/07/11 11:00
"New Collectorate, Baghpat - UPPCB, ,in ,Baghpat,, ,India",51,2019/07/11 11:15
"Asansol Court Area, Asansol - WBPCB, ,in ,Asansol,, ,India",23.96,2020/04/24 10:15
"Arya Nagar, Bahadurgarh - HSPCB, ,in ,Bahadurgarh ,, ,India",50.6,2020/04/24 07:45
"Nathu Colony, Ballabgarh - HSPCB, ,in ,Ballabgarh,, ,India",126.56,2019/07/11 11:00
"US Diplomatic Post: Baghdad, ,in ,Baghdad,, ,Iraq",15,2020/04/24 05:00
"US Diplomatic Post: Jakarta South, ,in ,Jakarta,, ,Indonesia",36,2020/04/24 11:00
"US Diplomatic Post: Jakarta Central, ,in ,Jakarta,, ,Indonesia",11,2020/04/24 09:00
